,address,has_ens,ens_count,has_defi_transactions,count_defi_transactions,had_activity_before_december_2022,count_activity_before_december_2022,had_activity_after_december_2022,count_activity_after_december_2022
9716,0xf785d5e00703cbf95aedbed63ad2fe480a9c1ebc,NO,0,NO,0,no,0,no,0
9745,0x5a071ba1181e280845eec8fe4f8d2bf7054bf319,NO,0,NO,0,no,0,no,0
9787,0xeeb9f44343534257c0de8d72b68150efad85a13d,NO,0,NO,0,no,0,no,0
9833,0x60ec92ab5f37a29ee72d0ba9200e429af8754940,NO,0,NO,0,no,0,no,0
9873,0x4695df666e2e1894bd5fd638cd962e7a55367ede,NO,0,NO,0,no,0,no,0
9921,0x609ad3ae04158c7a117c2cf26a7daa576986e0b3,NO,0,NO,0,no,0,no,0
9955,0xcf3b64b263e8f838c7ad677455db70c400e29742,NO,0,NO,0,no,0,no,0
9997,0xd18d73683b57b3ea30477038a132223e518faea0,NO,0,NO,0,no,0,no,0
10011,0x002ffc401494c4b65843e5981701c87579f28405,NO,0,NO,0,no,0,no,0
10023,0x4c3b6ddb6a34a308083e90ba44638e582a29bf29,NO,0,NO,0,no,0,no,0
10034,0xd05a98152cfe5ac8a9b38cff60b2388a72815cb1,NO,0,NO,0,no,0,no,0
10037,0x4b72a038774509e16edd4e4995b16ba269b874aa,NO,0,NO,0,no,0,no,0
10138,0x0ea5ae4782918baf7d496a10b9f48a20055c52e5,NO,0,NO,0,no,0,no,0
10149,0x1ba1a96d5190ce39276d18dd54d21a6b786b4b2e,NO,0,NO,0,no,0,no,0
10154,0x2f30b39a4ca4e05eb834c717ce1076fbafc8f0f2,NO,0,NO,0,no,0,no,0
10193,0x654a5d2ceff665ea34a99af5ed84c0b7633cdbf4,NO,0,NO,0,no,0,no,0
10230,0x89477e26fb2d49fbc70b9e04be0052be8671da00,NO,0,NO,0,no,0,no,0
10232,0xdf8a08357f627e2fd16fc8dc182e84dde592159e,NO,0,NO,0,no,0,no,0
10280,0xc23c5d179c716c3d820ad2684c8e71d133301f37,NO,0,NO,0,no,0,no,0
10286,0x7627a243085acc10647f0e8f909f069dc4a288c6,NO,0,NO,0,no,0,no,0
10296,0x30a5e9bb06461055cbd1533292426dab0ee4fbb3,NO,0,NO,0,no,0,no,0
10326,0x01e7d2d1f4b0ef644dffdf97004a82ecf554e8b3,NO,0,NO,0,no,0,no,0
10348,0x92938cadd8c49d785e3439f23f82235e09130a23,NO,0,NO,0,no,0,no,0
10366,0x525c44c952197781f6abf9100e43a277115d075b,NO,0,NO,0,no,0,no,0
10380,0xe3887945651476c7c8d3f98ad1dec2f54e9dc38c,NO,0,NO,0,no,0,no,0
10423,0x109507dfa6b36f99c0c42ccce2fc300a6f5b617d,NO,0,NO,0,no,0,no,0
10501,0xa88f0da60241cfcf3c5b5ca080a670662e1a3a17,NO,0,NO,0,no,0,no,0
10515,0x8e74ae785c375e81e433777b6b53a0eb4bd67e6b,NO,0,NO,0,no,0,no,0
10539,0x4e292bd803dd765194bf8e79275d1a8541ce03f5,NO,0,NO,0,no,0,no,0
10542,0xbcf868e590f39d6b03c9e190083e1baf0151885b,NO,0,NO,0,no,0,no,0
10584,0xf8ac8a410e943a4ed777f94eb62ab5f2b8fe77b5,NO,0,NO,0,no,0,no,0
10619,0xb283d0377762976c8ce6f03ee30af01048593a50,NO,0,NO,0,no,0,no,0
10626,0x6ff539291354bf6b966641985c93b9ad803d1cc8,NO,0,NO,0,no,0,no,0
10642,0x8f9ef18aefdeb19b522a2579526b2e352b49e7df,NO,0,NO,0,no,0,no,0
10659,0x31bc123129471d583a0f1d2da19d089a4d1866b6,NO,0,NO,0,no,0,no,0
10678,0x9be3ae64dbdb3b5727f2447e2260f8e431e3f134,NO,0,NO,0,no,0,no,0
10722,0xa2af55b949acf16d56b7764493b9bc35f9f3537c,NO,0,NO,0,no,0,no,0
10746,0x50900495b29e8301e477163d5ffd925178805c5b,NO,0,NO,0,no,0,no,0
10842,0x4b689cdb6f968f34eadab5b00a6b4afb3f90ce69,NO,0,NO,0,no,0,no,0
10955,0x4620eb2225b7caf9fdf99ba778fb0ee5e4da48a0,NO,0,NO,0,no,0,no,0
10981,0x448e1e9baed2fee6c3e2db6a84ffd2014b203069,NO,0,NO,0,no,0,no,0
10983,0x5fcccc9a43bf85cb1fdc6668934c095f021717e8,NO,0,NO,0,no,0,no,0
10985,0xbd3bd63e46192ff935dcedf420d026e107127659,NO,0,NO,0,no,0,no,0
11023,0x8b83b7028b4d79f18aea106b2f8a0dc7c35ca122,NO,0,NO,0,no,0,no,0
11059,0xeccd9cabe1b62543b922fa3f7ea21d207bfb6bd1,NO,0,NO,0,no,0,no,0
11104,0x33bcbe1438566f0314fdfa6be5ab140022263620,NO,0,NO,0,no,0,no,0
11175,0xadf9728e0c4391f073fc70a20869b2daa258a65f,NO,0,NO,0,no,0,no,0
11217,0x9d637fac06d5b9017a818b669d30403831deaced,NO,0,NO,0,no,0,no,0
11236,0x537d48c82aaf91caf93ddc84de7af53a8524e9ee,NO,0,NO,0,no,0,no,0
11239,0x9a7e9d330c85fbc5c954264cd5fe1079f37e3c67,NO,0,NO,0,no,0,no,0
11262,0xaccf0b172f0c49a8c0c43db7c95c103da747aab2,NO,0,NO,0,no,0,no,0
11293,0x04b65050826bf0e80e3a9c95ad4e4c8e23e052e5,NO,0,NO,0,no,0,no,0
11302,0x8ecc0903ed3d511d5c71b1df7421122944d97119,NO,0,NO,0,no,0,no,0
11315,0x7ff91d4cd9d9cd101c30df6e13805882e4e1d8d6,NO,0,NO,0,no,0,no,0
11357,0x4b9e3a83c0f92a2da9fd2fd2f1a24d38a32321b2,NO,0,NO,0,no,0,no,0
11368,0xa50b2ac8d26e4ad1e976a5e73eba8a2600b3b32c,NO,0,NO,0,no,0,no,0
11431,0x65ceab290c4a7a8bfa7091a8c1891a21228fe137,NO,0,NO,0,no,0,no,0
11476,0x5f11820dc1b8f707963b60dcea75583c670f2138,NO,0,NO,0,no,0,no,0
11508,0x4881e19652fb5f8f901e30db2e3d0ebcf33b434a,NO,0,NO,0,no,0,no,0
11520,0xce30f7cf383a6ec010176c08efd727c52c7c4eab,NO,0,NO,0,no,0,no,0
11527,0x93bc06f2bc2ac04b51e868b6aff3e0b2e8d4dc69,NO,0,NO,0,no,0,no,0
11543,0xe62dfef208dbf1290a71a295ee91466002b420af,NO,0,NO,0,no,0,no,0
11548,0x82f3ff90b78643a9a5ed12428bcd5ffbf7fcc788,NO,0,NO,0,no,0,no,0
11552,0x364a02f4359042bde2cfb25c46e9c159c23a5c42,NO,0,NO,0,no,0,no,0
11596,0xc1b059501da7dde3fe6082245fb5721c32ba8172,NO,0,NO,0,no,0,no,0
11605,0x2000fe4707df0e72b72f92753cfc237fc26248c6,NO,0,NO,0,no,0,no,0
11610,0xad93692bde9c617861f49a70d89b7740635a5ce1,NO,0,NO,0,no,0,no,0
11627,0xde3ea650ef5c6145cf98cff4d82c92ad21129190,NO,0,NO,0,no,0,no,0
11642,0x00a5d192cee24f2b95f631c9c86527423282dfcf,NO,0,NO,0,no,0,no,0
11646,0xabf6765946a9b48837523accc4cd9ba01ee71571,NO,0,NO,0,no,0,no,0
11658,0xe2efd90fcb3858aad058b51be3bed20c8c9bad68,NO,0,NO,0,no,0,no,0
11731,0x7636c265ae812bdeccc6f5f696e84a37788e0ab9,NO,0,NO,0,no,0,no,0
11732,0x0b40aa7f3fb58e2f23f882514eae76594d6d96da,NO,0,NO,0,no,0,no,0
11756,0xf82997c53c26a83530bcfd6ee82615ed20c2e6f8,NO,0,NO,0,no,0,no,0
11759,0x3ca66a559203d6ad129d97814c4858802fdd08bb,NO,0,NO,0,no,0,no,0
11775,0x10e4bc2f1e81d7953caae5b35031ba9a0df0b67b,NO,0,NO,0,no,0,no,0
11793,0xdb1652d14465ef791b9938bae0b1242107e0d851,NO,0,NO,0,no,0,no,0
11847,0xf08500ebb0ec07960b1d22c533d1ffb505226b90,NO,0,NO,0,no,0,no,0
11861,0x5cac5955df4d37551c0b484104c9c288b93a0118,NO,0,NO,0,no,0,no,0
11867,0xc31ae8d4f9a020bc75d040e5a79f5b10329b2bdb,NO,0,NO,0,no,0,no,0
11936,0xf96bad7d908b0b9b1bb894d8bf8ab9655d39af6c,NO,0,NO,0,no,0,no,0
11979,0x839e02a24374edbbcbba57fd028197c73484289f,NO,0,NO,0,no,0,no,0
12027,0x637824721412d8d67005ea029376e32230eaeb88,NO,0,NO,0,no,0,no,0
12071,0x4de4ace849a0b23243e232a98eefd63d7d179c70,NO,0,NO,0,no,0,no,0
12108,0x1f66a8cea35faae2798d156d986b702b36220fd0,NO,0,NO,0,no,0,no,0
12110,0xf671aa6f12cae6f2ac54af39d5dd428a040614a3,NO,0,NO,0,no,0,no,0
12157,0xbd78826def1a8b4752381c26e9fc0abc601b2441,NO,0,NO,0,no,0,no,0
12198,0x58e57e29ff5d26a71b00176b541dcb8717f9f71a,NO,0,NO,0,no,0,no,0
12237,0x8e5e17e09cc2c04e8ef2536f6f79b8595e4de185,NO,0,NO,0,no,0,no,0
12251,0x8cc565f39503c41f24d0ffaabfa42d4aa72e84a9,NO,0,NO,0,no,0,no,0
12263,0xd76239d8bae4f1a3912276ae4368257034dedd1a,NO,0,NO,0,no,0,no,0
12328,0x21a2739a7459dd38979278d28ee6208abf9facba,NO,0,NO,0,no,0,no,0
12357,0x2abad5e61e56476b5c9cef95ea3d8f00ad7f5ed0,NO,0,NO,0,no,0,no,0
12361,0x82ab0aa8d3b458a014bd2560d1417e5a51171882,NO,0,NO,0,no,0,no,0
12366,0x71ce4d3ed7c09b547e7e1730d34f25359521f0bd,NO,0,NO,0,no,0,no,0
12367,0xdfc37feb54a0f798c63bb7cd4a19e164f4f41864,NO,0,NO,0,no,0,no,0
12377,0xbe541baeb791055cb7049b6f9dad13ba90fa7138,NO,0,NO,0,no,0,no,0
12410,0x9bd73f42751eea4f8b50812c47f384944dd73ed0,NO,0,NO,0,no,0,no,0
12418,0x768202f14559949a4a4d3c67d7bcfdc8b5866601,NO,0,NO,0,no,0,no,0
12464,0xf4cb44d5aadcfcbd5aac14f500720eae4e950aa1,NO,0,NO,0,no,0,no,0
12478,0x17b53c72e1d74e24de306ecec443c107896d725e,NO,0,NO,0,no,0,no,0
12502,0x0f1a16f426967a0e29df3e212598cd329229c229,NO,0,NO,0,no,0,no,0
12507,0x93eb066074d49c2782a0dae5a83512cdd9fcf3e8,NO,0,NO,0,no,0,no,0
12553,0xe637d06a6bf1853eec159d2f71963d44fe65105d,NO,0,NO,0,no,0,no,0
12564,0x4008ad2da5a3bec2d0b73b31ee0703bc09687085,NO,0,NO,0,no,0,no,0
12566,0x5e57d5fe1082b4bcc0b386fd2a10b22bebf7ad6e,NO,0,NO,0,no,0,no,0
12587,0x2e1380dcbaec6477081f5d770806e2aae71ddd1f,NO,0,NO,0,no,0,no,0
12588,0x35208f7853a58cd0d5d0aa69664abf830b43bc4d,NO,0,NO,0,no,0,no,0
12610,0xe98d3a0e12471bd9014b017a7100f2b966626d1f,NO,0,NO,0,no,0,no,0
12616,0x759d4ade9c517bc48e96dd54115277861f3c43eb,NO,0,NO,0,no,0,no,0
12630,0x5ebf6aafe796de90050f8e9a72f0c3e34ef0f537,NO,0,NO,0,no,0,no,0
12633,0x0be2709401d1ad7ea9f84c11a829e3396884f87c,NO,0,NO,0,no,0,no,0
12670,0xc71b6bc4dd546397e1e0dd877ea20df43d8051bc,NO,0,NO,0,no,0,no,0
12705,0x50ea3ae4de39703291e888293a2308604fae5146,NO,0,NO,0,no,0,no,0
12711,0xb15b83dc9e1e9f03862694103bff54b1a8d7b928,NO,0,NO,0,no,0,no,0
12763,0xb728eb1e6563eda1e647e17c9c86594b89f5ad52,NO,0,NO,0,no,0,no,0
12833,0xd6d00dc832f78f02512bce49f2f4bab8ac6a5fd6,NO,0,NO,0,no,0,no,0
12834,0x9cf9848953dd9a5bc9877846df2184620d246ac3,NO,0,NO,0,no,0,no,0
12861,0xf1c686d3d207b8d831179db5b816f25549354ac8,NO,0,NO,0,no,0,no,0
12884,0x48ffb9ddf99302ced0bafba36ef406b4e43325a1,NO,0,NO,0,no,0,no,0
12890,0x30b7e50d6fae280f455740cbf64fdd7cba7a13bf,NO,0,NO,0,no,0,no,0
12917,0x20f89ddc0c38a09d3546fa5b825462ecbff76689,NO,0,NO,0,no,0,no,0
12940,0x630e1c695ac6e35204df3e9a208175ad1a4ab35b,NO,0,NO,0,no,0,no,0
12973,0x11324424f7c6a9a87f70490e28e6b0fd7ce8ff67,NO,0,NO,0,no,0,no,0
12977,0x0826e0352ce438e09e1c4ba42c13a8f486d85106,NO,0,NO,0,no,0,no,0
12983,0xdc25b8be81841fc1f5ba19da66d63419771ffcd6,NO,0,NO,0,no,0,no,0
13012,0x6c50f96479c702ba4e90388f020ba4fa0e2383ba,NO,0,NO,0,no,0,no,0
13036,0x5d0d1faf8cb604f0a2d120ce986feff265049ac1,NO,0,NO,0,no,0,no,0
13047,0x7a589ab6ab8ab1b35a9044e7ab0e96a79dffaa68,NO,0,NO,0,no,0,no,0
13073,0x26221f8257ca48e9f1e046a068ae5724bcf1d503,NO,0,NO,0,no,0,no,0
13086,0x208dfb32a9c505886e3ec9aa1a38210cc8172385,NO,0,NO,0,no,0,no,0
13135,0xaa1eb9c8784500fb02490fde89a1a8e1b79051e1,NO,0,NO,0,no,0,no,0
13151,0xe736f53197baff9253d11ae74cdc464c0a0eec47,NO,0,NO,0,no,0,no,0
13178,0x692b5eec04cb001b7235aa0e58eb2b56ee77303f,NO,0,NO,0,no,0,no,0
13188,0x87f9560a46e9232cb999c4f9facf5c54c62e1a2e,NO,0,NO,0,no,0,no,0
13204,0x807e1b21b03cb3c801ad34992ba1e3caf6c683d1,NO,0,NO,0,no,0,no,0
13208,0xb44d2f8868c2b70479e81b0bb73de25c042598d0,NO,0,NO,0,no,0,no,0
13219,0xaa03c61e51802cd2029b9d62bd770a0a3a2997db,NO,0,NO,0,no,0,no,0
13222,0x85e69d4872cd61b570a7098922d38f2e2fde64fc,NO,0,NO,0,no,0,no,0
13291,0xf71e9e42a501fc458ebefb4902ded0f4ea50b6f5,NO,0,NO,0,no,0,no,0
13295,0x0d7e9ee894c1eae385aee2f83e9ae3c100a8983d,NO,0,NO,0,no,0,no,0
13297,0xd1b80fbd26dd2f48ab99d84b4138a86f88333a05,NO,0,NO,0,no,0,no,0
13303,0x6de554b5f8c5020f458969bc73ba2383c3894654,NO,0,NO,0,no,0,no,0
13346,0x219ae70f83563e191361ea4bdb20758de9cd62b1,NO,0,NO,0,no,0,no,0
13375,0xa4018a871b700c24b6d5841f7dbe25c16f4f05ba,NO,0,NO,0,no,0,no,0
13400,0xd81bf06327ea2c98db92b40a8c443b9c182bed0a,NO,0,NO,0,no,0,no,0
13412,0xe92131948b17cd42eec68a41aa870544526a7804,NO,0,NO,0,no,0,no,0
13456,0x1273bcf30d427ac7dbfed5c7a12001e0dd1df1c6,NO,0,NO,0,no,0,no,0
13517,0x454c0d9b02a6dec6a2537ea387912070dbd41b4b,NO,0,NO,0,no,0,no,0
13519,0xd5c0c49d0de8e530bf8f091460605ed9bfbb1c45,NO,0,NO,0,no,0,no,0
13550,0x8459ac549d98c59e27d7aa7af11ca0a5b42d6ebe,NO,0,NO,0,no,0,no,0
13556,0x6415a48f6bc441090aefca3fe05c5607fe4bd4e4,NO,0,NO,0,no,0,no,0
13578,0xf0b1586f8f79d6528bab213f5a486987390fb8b2,NO,0,NO,0,no,0,no,0
13614,0x82260d7fcdd09eb843e91ec5c216d65d7b1a9a70,NO,0,NO,0,no,0,no,0
13628,0x6a8620c741eb932df5b8e23817250f29072f22bd,NO,0,NO,0,no,0,no,0
13680,0x8d8388fc78764c9a8043be5349ddf087c0ff1030,NO,0,NO,0,no,0,no,0
13688,0xf8a6175ef1f272f2e7d87b908536a3fafdb6cedc,NO,0,NO,0,no,0,no,0
13689,0x8ea6889b34e56c95cec1622640980eef49d90918,NO,0,NO,0,no,0,no,0
13701,0xdf36d804176f4e224e248a93c50145f56c6bf239,NO,0,NO,0,no,0,no,0
13702,0x50805f2c802f59cd48991ede45166cebbf83f0fc,NO,0,NO,0,no,0,no,0
13720,0x3259d6c027b848c5cc91d7995a1d60ff436a0722,NO,0,NO,0,no,0,no,0
13731,0xdd699b0e62626aad4d81505d94f4328875884dca,NO,0,NO,0,no,0,no,0
13756,0x4d4feb01b78adee6a3d1dc8956ddd7e0fab3812f,NO,0,NO,0,no,0,no,0
13759,0x5517e9c5d457681280f946cd0b9893e9e3792556,NO,0,NO,0,no,0,no,0
13785,0x2750fee3013e747cbd7df9bff3ab06c69c489213,NO,0,NO,0,no,0,no,0
13801,0x6af187a825a463720628ffd758be18693bcf2264,NO,0,NO,0,no,0,no,0
13807,0x7ee61332c024b7b626f57b4e674448c97fe70173,NO,0,NO,0,no,0,no,0
13840,0xf512a8b86d86198177dea134e02bda1ba3ef6783,NO,0,NO,0,no,0,no,0
13876,0xbbe2352308d502f664453086b01f9758d749f6e6,NO,0,NO,0,no,0,no,0
13884,0xcf02b3527a64e958bc392d27131e1c7f59628c60,NO,0,NO,0,no,0,no,0
13926,0xf9bbbec7cd5acd763bbdc40f381204bd08833892,NO,0,NO,0,no,0,no,0
13942,0x7f2e3a2b112baefb703887b3b5835a80b5bf1351,NO,0,NO,0,no,0,no,0
13984,0xfc7bf33c986a695ebf6d13e566d4c54647186f25,NO,0,NO,0,no,0,no,0
13997,0xdca9f3d4aafc1068971707baa813935f94fc31ff,NO,0,NO,0,no,0,no,0
14006,0xca38ec3984d0da42c0ce17afa26a41649c6d74e2,NO,0,NO,0,no,0,no,0
14024,0xa2718f9c4a4abd10e53f3f69654dced4452019da,NO,0,NO,0,no,0,no,0
14070,0x6ced41f82b8b6907417045f5f268e848bc30ed8b,NO,0,NO,0,no,0,no,0
14071,0xa27c89394a39742ef956853318d129bdf1cdd6ee,NO,0,NO,0,no,0,no,0
14137,0x73edfb88dfc1e85e8a3eae66a47566f28733df50,NO,0,NO,0,no,0,no,0
14179,0x16bce8af5a9631e990f6e37eecb868dd2272c0b5,NO,0,NO,0,no,0,no,0
14299,0xd984aaf720f9dadaec002c82c0812a399e275e08,NO,0,NO,0,no,0,no,0
14301,0x40b9ca701050d551e163e81ad0e40720de0f3036,NO,0,NO,0,no,0,no,0
14304,0x9d7151de0b3b3b3e4f29e0a29e7d389ac180ee02,NO,0,NO,0,no,0,no,0
14324,0x77ddeb2868e45cd89818a5d166249f365600c1c8,NO,0,NO,0,no,0,no,0
14355,0x51151a0281f3e6d2a7dedd8218c7c0e6401dba89,NO,0,NO,0,no,0,no,0
14396,0x882080edb324ae31c9d71b205b024c8de1b89684,NO,0,NO,0,no,0,no,0
14413,0x1f15c7b88b094bb7535c00b3774727b2e5c95b1e,NO,0,NO,0,no,0,no,0
14422,0xafdf9aca600a4bc546cfebc8c3ff2890518ebed8,NO,0,NO,0,no,0,no,0
14427,0x0fec7443bbb3d527623c309dc188a1dcea5c8787,NO,0,NO,0,no,0,no,0
14448,0xcdffe93050408d7bcbc5ec779763733077c52e8c,NO,0,NO,0,no,0,no,0
14533,0x8fc3e61a9110831e6d1071b9566bcd48de7b4214,NO,0,NO,0,no,0,no,0
14585,0xd8cb720631ad1809dd46d4d6233410be049fbe88,NO,0,NO,0,no,0,no,0
14587,0x28e22461f30befdda947b821e72d703a35516a69,NO,0,NO,0,no,0,no,0
14637,0x4612aec0295c3c2195668bff37bf68e02f2dd65c,NO,0,NO,0,no,0,no,0
14669,0x0f268dfca18c8b2935b424663f8ac9d3184d0d3d,NO,0,NO,0,no,0,no,0
14695,0xd2d9d44a6365b78efe743c51ac0289571a8335ef,NO,0,NO,0,no,0,no,0
14759,0xe49b522064100cb5465d53df71b399d9197c4855,NO,0,NO,0,no,0,no,0
14845,0xa1623f28bb9ccd4e395e5cd726e069d59882adcd,NO,0,NO,0,no,0,no,0
14862,0xa834997b30a40eaeca8cbf078611515a614a9aec,NO,0,NO,0,no,0,no,0
14883,0x6cc835bf9d15051f610d1e480891c8c4822d6d65,NO,0,NO,0,no,0,no,0
14891,0xed1c353928ea4947be806b86f14eaccc92de6dcf,NO,0,NO,0,no,0,no,0
14899,0x7e107ac0b229c932388c9890a42e3d04bc4f40ac,NO,0,NO,0,no,0,no,0
14956,0x7bb6f588f8f8b8442e81161b659a237aa400b060,NO,0,NO,0,no,0,no,0
15012,0x31c5afb7f18e464fa714d8e1dc36ff4e5907543a,NO,0,NO,0,no,0,no,0
15019,0xe46eb6d93e2fa563aab9c841e4e17647685c4ca9,NO,0,NO,0,no,0,no,0
15058,0x0f4c6d80b7ccfd17a20d58a39edafc258723e4e5,NO,0,NO,0,no,0,no,0
15081,0xfade888a624f8864b82874412850e69e68d4c72a,NO,0,NO,0,no,0,no,0
15121,0x649226426e2d28e9a8b9edc7325319201d899cdf,NO,0,NO,0,no,0,no,0
15148,0x4bce1e934d9661df5a51970e88f478323b5f2673,NO,0,NO,0,no,0,no,0
15206,0x566f93927055d7b9c289a2006e288314d0e454f0,NO,0,NO,0,no,0,no,0
15230,0x0cdb31b0bd13697e94e37fc7bf03a51c3dc8faa0,NO,0,NO,0,no,0,no,0
15235,0x1d3275c0c8c5b9e439a67130e1c4747d81daca7e,NO,0,NO,0,no,0,no,0
15237,0x5c68292a5bf8dc1b9867f71b44d4027461b45258,NO,0,NO,0,no,0,no,0
15238,0x1f89463ccdd0d378a22726fc78b83fc0e3d01421,NO,0,NO,0,no,0,no,0
15291,0xb043ae28a52643a284fb5a6f4aa02ede4069a4d9,NO,0,NO,0,no,0,no,0
15361,0xf313f560f473886275c4f9bbc02a49cb13ae5df2,NO,0,NO,0,no,0,no,0
15456,0xc162a75fde80cd2c5bc72c3f1a1b03897f699a1c,NO,0,NO,0,no,0,no,0
15457,0x6a3a26a2c2ddc5cafa27acda26c96cc7cd8841ad,NO,0,NO,0,no,0,no,0
15483,0x2f34320df752b5b8e30a60bb3bdc69dd9d21880c,NO,0,NO,0,no,0,no,0
15488,0x4324373c1a74c643208a7359d1000b5d4fabc46d,NO,0,NO,0,no,0,no,0
15499,0x1b73fa63ddf1362c208eb222e4cd3257f1d53ccc,NO,0,NO,0,no,0,no,0
15517,0x62fa5c58e2b6f2cb8e2fb9dd4390acd876e587f5,NO,0,NO,0,no,0,no,0
